SubjectID,,TriadID,,Amplification,,Length(s),,PowerOBW(W),,Power3dB(W)
21,,3,,1.85686,,0.364625,,0.032731,,0.00185
21,,4,,1.820647,,0.381812,,0.025413,,0.000892
21,,5,,2.059974,,0.354438,,0.028622,,0.000859
21,,6,,2.207937,,0.35825,,0.025301,,0.00106
21,,7,,2.04621,,0.404,,0.02163,,0.000719
22,,1,,10.070068,,0.369188,,0.032131,,0.001335
22,,2,,10.803825,,0.381188,,0.024755,,0.001492
22,,3,,14.881017,,0.332625,,0.030265,,0.001056
22,,4,,21.140645,,0.33325,,0.046028,,0.003466
22,,5,,15.8606,,0.3605,,0.028223,,0.002518
22,,6,,21.277922,,0.483438,,0.026794,,0.004189
23,,1,,7.235151,,0.609313,,0.021893,,0.002092
23,,2,,11.245024,,0.558,,0.033152,,0.001729
23,,3,,11.393602,,0.562,,0.035106,,0.000692
23,,4,,11.972232,,0.52925,,0.0213,,0.000989
23,,5,,14.209887,,0.527625,,0.026303,,0.001088
23,,6,,14.820443,,0.5355,,0.025834,,0.000927
23,,7,,13.523731,,0.575937,,0.030606,,0.001539
23,,8,,10.002442,,0.58875,,0.016964,,0.000434
23,,9,,9.860969,,0.708562,,0.022871,,0.000426
23,,10,,8.822833,,0.657438,,0.021585,,0.000713
23,,11,,8.810971,,0.6415,,0.016459,,0.000304
23,,12,,9.132664,,0.614875,,0.014946,,0.000334
23,,13,,9.637647,,0.590437,,0.014811,,0.000386
23,,14,,13.773855,,0.677,,0.020864,,0.000291
24,,1,,2.296769,,0.49425,,0.025421,,0.005003
24,,2,,3.013981,,0.404625,,0.021743,,0.004101
24,,3,,2.928067,,0.40425,,0.015935,,0.000836
24,,4,,3.311237,,0.406,,0.020832,,0.003076
24,,5,,2.87237,,0.40375,,0.019708,,0.000472
24,,6,,3.022042,,0.399,,0.019535,,0.001356
24,,7,,2.919458,,0.42175,,0.019701,,0.002304
24,,8,,3.155928,,0.399875,,0.021616,,0.002
24,,9,,3.693001,,0.39,,0.018404,,0.000468
24,,10,,3.932317,,0.479875,,0.020247,,0.001331
24,,11,,5.099284,,0.445125,,0.015413,,0.001971
25,,1,,16.070623,,0.56475,,0.043395,,0.001017
25,,2,,24.563718,,0.465,,0.046449,,0.002568
25,,3,,27.489933,,0.449562,,0.055174,,0.005288
25,,4,,26.991763,,0.432063,,0.058537,,0.004649
25,,5,,25.620016,,0.41125,,0.046401,,0.004936
25,,6,,21.099807,,0.435,,0.035029,,0.002818
25,,7,,21.830779,,0.446188,,0.046727,,0.006335
25,,8,,21.487213,,0.424125,,0.055852,,0.004787
25,,9,,22.110661,,0.42375,,0.058366,,0.011982
25,,10,,18.919169,,0.4375,,0.041251,,0.005453
25,,11,,22.459219,,0.436312,,0.048184,,0.002283
25,,12,,21.140645,,0.451625,,0.053501,,0.006634
25,,13,,24.111847,,0.44375,,0.058339,,0.005001
25,,14,,20.090742,,0.44925,,0.048879,,0.00473
25,,15,,20.858052,,0.396313,,0.045189,,0.00545
25,,16,,34.638478,,0.566,,0.046059,,0.004329
26,,1,,13.585406,,0.552125,,0.027311,,0.002626
26,,2,,18.234836,,0.470125,,0.032331,,0.003765
26,,3,,18.512994,,0.45725,,0.037526,,0.005716
26,,4,,19.040093,,0.439812,,0.029442,,0.005805
26,,5,,17.702863,,0.522,,0.029061,,0.002651
27,,1,,6.237959,,0.645875,,0.034109,,0.001531
27,,2,,5.636051,,0.594125,,0.02266,,0.000563
27,,3,,6.402501,,0.622687,,0.018264,,0.000455
27,,4,,5.480515,,0.64,,0.014621,,0.000132
27,,5,,8.761497,,0.535875,,0.032584,,0.002283
27,,6,,4.591928,,0.612062,,0.018063,,0.000343
27,,7,,6.658809,,0.574812,,0.034113,,0.00088
27,,8,,9.207081,,0.50075,,0.048058,,0.001553
27,,9,,7.7356,,0.611313,,0.031152,,0.002753
28,,1,,7.602784,,0.4695,,0.022934,,0.000977
28,,2,,8.017617,,0.496125,,0.032288,,0.000701
28,,3,,9.186431,,0.447688,,0.033041,,0.001762
28,,4,,11.842429,,0.503437,,0.032039,,0.001552
28,,5,,6.59847,,0.479563,,0.019584,,0.000608
28,,6,,5.62734,,0.462375,,0.017298,,0.001943
28,,7,,7.260802,,0.621062,,0.017932,,0.001485
29,,1,,4.23852,,0.449688,,0.028471,,0.000909
29,,2,,3.969954,,0.426,,0.024052,,0.00155
29,,3,,4.537876,,0.427063,,0.017282,,0.001104
29,,4,,6.356547,,0.47575,,0.020684,,0.000635
29,,5,,5.417989,,0.445125,,0.017956,,0.000402
29,,6,,6.056932,,0.408625,,0.016799,,0.000394
29,,7,,4.924557,,0.427312,,0.012753,,0.000458
29,,8,,5.249599,,0.442812,,0.014253,,0.000795
29,,9,,6.173323,,0.435063,,0.021719,,0.000439
29,,10,,6.749331,,0.50825,,0.024787,,0.00068
29,,11,,6.591833,,0.452813,,0.021942,,0.000595
29,,12,,7.579921,,0.45325,,0.029995,,0.000941
29,,13,,7.265632,,0.4275,,0.027582,,0.001807
29,,14,,8.607302,,0.477,,0.034284,,0.001638
29,,15,,7.895904,,0.461938,,0.023241,,0.000762
29,,16,,9.694675,,0.480312,,0.033287,,0.00142
29,,17,,9.825487,,0.442688,,0.026246,,0.000572
30,,1,,115.787986,,0.376437,,0.020616,,0.00216
30,,2,,143.719298,,0.395625,,0.020702,,0.00165
30,,3,,164.663317,,0.415438,,0.02455,,0.000662
30,,4,,97.814925,,0.466813,,0.012935,,0.000247
31,,1,,31.7212,,0.344,,0.016086,,0.000594
31,,2,,33.06559,,0.367,,0.019795,,0.000565
31,,3,,37.577982,,0.343438,,0.020069,,0.00045
31,,4,,37.751152,,0.34975,,0.01489,,0.000608
31,,5,,39.622733,,0.346875,,0.017195,,0.001025
31,,6,,37.969873,,0.350875,,0.018858,,0.002636
31,,7,,48.617211,,0.350562,,0.01363,,0.000267
31,,8,,34.601901,,0.34875,,0.017908,,0.003636
31,,9,,45.447989,,0.363063,,0.023115,,0.001026
31,,10,,52.178344,,0.352687,,0.020612,,0.002026
31,,11,,44.221323,,0.375312,,0.020881,,0.000759
31,,12,,47.421129,,0.381688,,0.023344,,0.000776
31,,13,,58.724014,,0.37425,,0.015416,,0.000252
33,,1,,79.727494,,0.502625,,0.024146,,0.002235
33,,2,,111.836177,,0.46725,,0.015877,,0.000493
33,,3,,99.29697,,0.421125,,0.014144,,0.00059
33,,4,,107.436066,,0.439937,,0.013803,,0.000673
33,,5,,130.549801,,0.406313,,0.019632,,0.000869
33,,6,,122.268657,,0.426438,,0.014956,,0.000694
33,,7,,121.362963,,0.39875,,0.011843,,0.000564
33,,8,,168.041026,,0.385688,,0.02212,,0.001113
33,,9,,143.719298,,0.40725,,0.019212,,0.000797
33,,10,,206.08805,,0.461813,,0.020698,,0.001613
34,,1,,28.99823,,0.517188,,0.045678,,0.005255
34,,2,,25.74077,,0.610875,,0.030223,,0.000659
34,,3,,23.918248,,0.5805,,0.033584,,0.005738
34,,4,,35.083512,,0.464938,,0.046849,,0.007275
34,,5,,30.768075,,0.567125,,0.040945,,0.000669
34,,6,,29.231044,,0.470313,,0.041718,,0.000526
35,,1,,52.766506,,0.607563,,0.047714,,0.001922
35,,2,,50.412308,,0.565438,,0.043016,,0.008133
35,,3,,60.569316,,0.541125,,0.043923,,0.010671
35,,4,,60.346225,,0.54125,,0.042933,,0.002498
35,,5,,52.4288,,0.538813,,0.03924,,0.007364
35,,6,,58.724014,,0.537937,,0.049289,,0.003866
35,,7,,54.613333,,0.572,,0.038567,,0.006818
37,,1,,207.392405,,0.515375,,0.05393,,0.003557
37,,2,,174.297872,,0.492188,,0.031051,,0.002316
37,,3,,242.725926,,0.511875,,0.047225,,0.002156
37,,4,,239.182482,,0.438375,,0.049021,,0.003359
37,,5,,240.941176,,0.495563,,0.031656,,0.002148
39,,1,,122.268657,,0.47325,,0.037447,,0.001527
39,,2,,102.080997,,0.426687,,0.024417,,0.001465
39,,3,,151.004608,,0.436937,,0.035333,,0.005681
39,,4,,128.501961,,0.41325,,0.030181,,0.005982
39,,5,,175.229947,,0.435625,,0.030909,,0.002524
39,,6,,185.129944,,0.430375,,0.039632,,0.003623
39,,7,,210.051282,,0.427063,,0.04145,,0.004322
39,,8,,189.410405,,0.431063,,0.028218,,0.003055
40,,1,,18.628766,,0.455937,,0.009003,,0.00024
40,,2,,21.445026,,0.339625,,0.008811,,0.000134
40,,3,,21.80173,,0.338375,,0.008274,,0.000253
40,,4,,23.865987,,0.342438,,0.009299,,0.00017
40,,5,,26.925226,,0.340938,,0.009218,,0.000139
40,,6,,31.32696,,0.325313,,0.009415,,0.000167
40,,7,,39.81531,,0.322,,0.010583,,0.000232
40,,8,,40.454321,,0.330062,,0.011727,,0.000272
40,,9,,37.621125,,0.339562,,0.011626,,0.000358
40,,10,,48.259205,,0.312937,,0.010515,,0.000539
40,,11,,47.558781,,0.338875,,0.013298,,0.000365
40,,12,,50.646059,,0.29,,0.016154,,0.000654
40,,13,,41.478481,,0.391437,,0.009186,,0.000149
41,,1,,67.285421,,0.38975,,0.036677,,0.001307
41,,2,,72.335541,,0.377812,,0.032418,,0.004359
41,,3,,107.084967,,0.361312,,0.045806,,0.002829
41,,4,,112.993103,,0.343938,,0.044925,,0.003513
41,,5,,114.975439,,0.357625,,0.041674,,0.002857
41,,6,,110.329966,,0.356187,,0.048125,,0.003672
41,,7,,97.52381,,0.340875,,0.02858,,0.001529
41,,8,,117.870504,,0.395562,,0.043936,,0.005314
41,,9,,95.812865,,0.318688,,0.02951,,0.004361
41,,10,,123.18797,,0.371,,0.035608,,0.002493
41,,11,,121.362963,,0.376063,,0.031176,,0.001876
41,,12,,107.789474,,0.39375,,0.024062,,0.001775
41,,13,,89.043478,,0.395188,,0.020835,,0.002432
42,,1,,59.79562,,0.576875,,0.010884,,0.000104
42,,2,,108.503311,,0.463938,,0.019531,,0.000819
42,,3,,140.034188,,0.433312,,0.018391,,0.000352
42,,4,,122.268657,,0.426563,,0.01441,,0.000326
42,,5,,133.203252,,0.421875,,0.016559,,0.000527
42,,6,,174.297872,,0.408813,,0.02395,,0.000896
42,,7,,143.091703,,0.437625,,0.013183,,0.000323
43,,1,,73.635955,,0.482,,0.030773,,0.001044
43,,2,,72.979955,,0.403438,,0.027956,,0.001066
43,,3,,73.306488,,0.42675,,0.025957,,0.000876
43,,4,,78.205251,,0.396313,,0.025094,,0.000774
43,,5,,85.780105,,0.398875,,0.034073,,0.001297
43,,6,,59.148014,,0.373688,,0.014934,,0.000417
44,,1,,22.336742,,0.658687,,0.035277,,0.003948
44,,2,,28.444444,,0.447125,,0.042751,,0.002075
44,,3,,24.02346,,0.418125,,0.042335,,0.002571
44,,4,,25.323029,,0.437375,,0.038986,,0.004522
44,,5,,25.051988,,0.432375,,0.036934,,0.002092
44,,6,,25.303475,,0.429,,0.039703,,0.002869
44,,7,,22.645473,,0.551,,0.035864,,0.003544
45,,1,,36.817978,,0.448688,,0.027423,,0.000694
45,,2,,49.053892,,0.413687,,0.025315,,0.000736
45,,3,,59.148014,,0.39625,,0.018554,,0.00035
45,,4,,71.234783,,0.441937,,0.022653,,0.000514
45,,5,,54.251656,,0.48575,,0.017154,,0.000782
45,,6,,79.533981,,0.451062,,0.030737,,0.001026
45,,7,,97.234421,,0.4285,,0.0325,,0.000596
45,,8,,59.362319,,0.451437,,0.014639,,0.001026
46,,1,,37.406393,,0.362875,,0.047276,,0.004687
46,,2,,33.06559,,0.364812,,0.039964,,0.003159
46,,3,,34.026999,,0.368437,,0.041173,,0.004642
46,,4,,31.000946,,0.391875,,0.031431,,0.006824
46,,5,,31.237369,,0.419312,,0.038649,,0.004418
47,,1,,6.380062,,0.586625,,0.019797,,0.000226
47,,2,,6.52619,,0.469687,,0.013717,,0.000327
47,,3,,8.491319,,0.435437,,0.019502,,0.000492
47,,4,,11.429369,,0.403813,,0.022332,,0.000643
47,,5,,9.089598,,0.415312,,0.018623,,0.000487
47,,6,,10.409149,,0.415312,,0.021481,,0.000523
47,,7,,13.018673,,0.383937,,0.023293,,0.00099
47,,8,,17.886463,,0.399687,,0.034882,,0.001249
47,,9,,19.230047,,0.395937,,0.031995,,0.000611
47,,10,,15.868281,,0.374937,,0.023236,,0.000657
47,,11,,16.795489,,0.42325,,0.016471,,0.000619
48,,1,,45.957924,,0.458375,,0.046577,,0.002963
48,,2,,36.653244,,0.413687,,0.02619,,0.00119
48,,3,,42.611183,,0.405875,,0.039516,,0.003179
48,,4,,39.527141,,0.405938,,0.026632,,0.003736
48,,5,,39.670702,,0.411187,,0.022733,,0.000702
48,,6,,41.849298,,0.389313,,0.018726,,0.001002
48,,7,,43.401325,,0.425063,,0.017444,,0.000492
49,,1,,56.888889,,0.459437,,0.020054,,0.002155
49,,2,,68.409186,,0.415438,,0.037199,,0.003676
49,,3,,68.409186,,0.403313,,0.037561,,0.004271
49,,4,,83.167513,,0.401813,,0.038065,,0.005424
49,,5,,88.562162,,0.415687,,0.041283,,0.006317
49,,6,,78.205251,,0.419125,,0.032031,,0.006487
49,,7,,88.562162,,0.419875,,0.038796,,0.003944
49,,8,,69.867804,,0.426125,,0.026801,,0.003004
49,,9,,93.622857,,0.406562,,0.042755,,0.005074
49,,10,,99.902439,,0.424938,,0.044742,,0.003409
49,,11,,96.946746,,0.48625,,0.027123,,0.003328
50,,1,,37.36374,,0.644563,,0.035613,,0.001996
50,,2,,23.676301,,0.580562,,0.021152,,0.000488
50,,3,,38.550588,,0.591063,,0.03175,,0.000839
50,,4,,49.053892,,0.593688,,0.039281,,0.000952
50,,5,,45.134986,,0.554375,,0.033918,,0.001054
50,,6,,47.627907,,0.608563,,0.034064,,0.000758
50,,7,,42.118252,,0.5725,,0.025292,,0.000873
50,,8,,43.748999,,0.565688,,0.023234,,0.000455
51,,1,,28.102916,,0.412438,,0.01725,,0.001179
51,,2,,27.014015,,0.35975,,0.013544,,0.000634
51,,3,,41.636595,,0.3675,,0.023292,,0.001017
51,,4,,46.878398,,0.371125,,0.021066,,0.000656
51,,5,,54.613333,,0.359375,,0.028135,,0.001292
51,,6,,42.666667,,0.368437,,0.019706,,0.000485
51,,7,,40.806974,,0.448313,,0.010486,,0.000279
52,,1,,69.276956,,0.320813,,0.034878,,0.00301
52,,2,,78.959036,,0.335437,,0.045058,,0.002472
52,,3,,88.802168,,0.312312,,0.038852,,0.003729
52,,4,,107.789474,,0.329,,0.04182,,0.003106
52,,5,,123.65283,,0.310937,,0.04685,,0.003866
52,,6,,120.915129,,0.315125,,0.043483,,0.004868
52,,7,,132.129032,,0.31925,,0.044426,,0.004964
52,,8,,138.261603,,0.291938,,0.048619,,0.003255
52,,9,,166.335025,,0.32475,,0.06273,,0.004802
52,,10,,186.181818,,0.28875,,0.075674,,0.007492
52,,11,,162.217822,,0.326188,,0.052152,,0.005281
52,,12,,181.038674,,0.345,,0.043018,,0.003825
53,,1,,36.984199,,0.481375,,0.036408,,0.005124
53,,2,,53.194805,,0.4485,,0.046485,,0.001409
53,,3,,52.178344,,0.440437,,0.038405,,0.002644
53,,4,,58.724014,,0.46675,,0.037861,,0.005847
53,,5,,56.109589,,0.459688,,0.030962,,0.007759
53,,6,,49.127436,,0.412313,,0.029041,,0.000479
54,,1,,13.413017,,0.544937,,0.027656,,0.001299
54,,2,,20.467208,,0.520375,,0.029662,,0.004854
54,,3,,28.223945,,0.459437,,0.035807,,0.001448
54,,4,,35.386609,,0.473187,,0.039881,,0.003956
54,,5,,35.969265,,0.416687,,0.041966,,0.004328
54,,6,,33.505112,,0.461062,,0.025922,,0.000944
54,,7,,47.766764,,0.415438,,0.044241,,0.005205
54,,8,,49.349398,,0.443375,,0.036011,,0.002753
54,,9,,32.768,,0.422,,0.023016,,0.005644
54,,10,,61.826415,,0.442688,,0.044126,,0.001523
54,,11,,46.678063,,0.403313,,0.019089,,0.0014
57,,1,,84.453608,,0.354938,,0.018758,,0.001458
57,,2,,81.715711,,0.316063,,0.015729,,0.000392
57,,3,,70.62069,,0.348687,,0.01318,,0.00031
57,,4,,71.08026,,0.32975,,0.012657,,0.000834
57,,5,,89.286104,,0.3535,,0.017394,,0.000888
57,,6,,100.515337,,0.362063,,0.019958,,0.000819
57,,7,,105.363344,,0.358438,,0.020001,,0.001718
57,,8,,110.329966,,0.366812,,0.023559,,0.001156
57,,9,,75.676674,,0.375563,,0.016819,,0.000646
57,,10,,90.021978,,0.379875,,0.014955,,0.000178
57,,11,,107.789474,,0.374125,,0.027027,,0.001105
57,,12,,89.530055,,0.388125,,0.018347,,0.000526
57,,13,,124.121212,,0.473375,,0.023208,,0.001752
57,,14,,111.455782,,0.340438,,0.015272,,0.001296
57,,15,,146.285714,,0.521062,,0.012474,,0.000644
