SubjectID, SegmentID, Amplification 
0012, 2, 6.717507 
0012, 3, 6.717507 
0012, 4, 7.413575 
0012, 5, 7.182815 
0012, 6, 7.182815 
0012, 7, 7.182815 
0012, 8, 7.167104 
0012, 9, 6.878254 
0013, 1, 15.883665 
0013, 2, 19.117853 
0013, 3, 39.670702 
0013, 4, 39.670702 
0013, 5, 39.863747 
0013, 6, 39.863747 
0014, 1, 11.698679 
0014, 2, 7.601021 
0014, 3, 7.601021 
0015, 1, 12.314168 
0015, 2, 12.314168 
0015, 3, 15.544592 
0015, 4, 11.902652 
0015, 5, 11.902652 
0015, 6, 11.902652 
0015, 7, 12.617636 
0015, 8, 13.271770 
0015, 9, 13.507007 
0015, 10, 15.255121 
0015, 11, 14.827149 
0015, 12, 14.827149 
0016, 1, 6.282209 
0016, 2, 6.282209 
0016, 3, 6.282209 
0016, 4, 7.783373 
0016, 5, 7.783373 
0016, 6, 7.558939 
0016, 7, 7.558939 
0016, 8, 7.558939 
0016, 9, 8.235235 
0017, 1, 8.233166 
0017, 2, 8.233166 
0017, 3, 8.233166 
0018, 1, 6.642611 
0018, 2, 9.686077 
0018, 3, 9.686077 
0018, 4, 9.807842 
0018, 5, 10.922667 
0018, 6, 10.922667 
0018, 7, 10.922667 
0018, 8, 13.867118 
0018, 9, 13.867118 
0018, 10, 15.248022 
0018, 11, 15.248022 
0018, 12, 11.195080 
0019, 1, 8.151244 
0019, 2, 8.151244 
0019, 3, 9.761096 
0019, 4, 11.595188 
0019, 5, 13.855391 
0019, 6, 13.855391 
0019, 7, 13.855391 
0019, 8, 15.588963 
0019, 9, 14.694170 
0019, 10, 14.694170 
0019, 11, 14.694170 
0019, 12, 13.086262 
0020, 1, 5.696801 
0020, 2, 5.696801 
0020, 3, 5.913734 
0020, 4, 5.913734 
0020, 5, 5.913734 
0020, 6, 5.580381 
0020, 7, 5.580381 
0020, 8, 5.580381 
0020, 9, 6.248665 
0020, 10, 6.248665 
0020, 11, 6.248665 
0020, 12, 11.489481 
0020, 13, 8.784987 
0020, 14, 7.472748 
0020, 15, 7.472748 
0020, 16, 7.472748 
0020, 17, 9.603751 
0020, 18, 9.561716 
0020, 19, 9.561716 
0020, 20, 9.437788 
0020, 21, 9.437788 
0021, 1, 1.443715 
0021, 2, 1.782032 
0021, 3, 1.801330 
0021, 4, 1.820647 
0021, 5, 1.820647 
0021, 6, 1.820647 
0022, 1, 10.070068 
0022, 2, 10.070068 
0022, 3, 14.628571 
0022, 4, 14.881017 
0022, 5, 15.860600 
0022, 6, 15.860600 
0023, 1, 7.235151 
0023, 2, 7.235151 
0023, 3, 11.245024 
0023, 4, 11.245024 
0023, 5, 11.393602 
0023, 6, 11.393602 
0023, 7, 11.972232 
0023, 8, 11.972232 
0023, 9, 11.972232 
0023, 10, 14.209887 
0023, 11, 14.209887 
0023, 12, 14.820443 
0023, 13, 13.523731 
0023, 14, 13.523731 
0023, 15, 13.523731 
0023, 16, 10.002442 
0023, 17, 10.002442 
0023, 18, 9.860969 
0023, 19, 9.860969 
0023, 20, 9.860969 
0023, 21, 8.822833 
0023, 22, 8.822833 
0023, 23, 8.810971 
0023, 24, 8.810971 
0023, 25, 8.810971 
0023, 26, 9.132664 
0023, 27, 9.132664 
0023, 28, 9.132664 
0023, 29, 9.637647 
0023, 30, 9.637647 
0024, 1, 2.296769 
0024, 2, 2.296769 
0024, 3, 2.928067 
0024, 4, 2.928067 
0024, 5, 2.928067 
0024, 6, 2.872370 
0024, 7, 2.872370 
0024, 8, 2.872370 
0024, 9, 2.919458 
0024, 10, 2.919458 
0024, 11, 2.919458 
0024, 12, 3.155928 
0024, 13, 3.155928 
0024, 14, 3.693001 
0024, 15, 3.693001 
0025, 1, 16.070623 
0025, 2, 16.070623 
0025, 3, 24.563718 
0025, 4, 24.563718 
0025, 5, 26.991763 
0025, 6, 25.620016 
0025, 7, 25.620016 
0025, 8, 25.620016 
0025, 9, 21.099807 
0025, 10, 21.099807 
0025, 11, 21.099807 
0025, 12, 21.487213 
0025, 13, 21.487213 
0025, 14, 21.487213 
0025, 15, 18.919169 
0025, 16, 18.919169 
0025, 17, 18.919169 
0025, 18, 22.459219 
0025, 19, 21.140645 
0025, 20, 21.140645 
0025, 21, 21.140645 
0025, 22, 20.090742 
0025, 23, 20.090742 
0025, 24, 20.090742 
0026, 1, 13.585406 
0026, 2, 17.411265 
0026, 3, 18.234836 
0026, 4, 18.234836 
0026, 5, 18.512994 
0026, 6, 19.040093 
0027, 1, 6.237959 
0027, 2, 5.636051 
0027, 3, 5.636051 
0027, 4, 5.636051 
0027, 5, 6.236772 
0027, 6, 6.402501 
0027, 7, 5.480515 
0027, 8, 5.480515 
0027, 9, 5.480515 
0027, 10, 8.761497 
0027, 11, 6.582563 
0027, 12, 4.591928 
0027, 13, 4.591928 
0027, 14, 4.591928 
0027, 15, 6.658809 
0027, 16, 6.658809 
0027, 17, 9.207081 
0027, 18, 9.207081 
0028, 1, 7.602784 
0028, 2, 8.017617 
0028, 3, 8.017617 
0028, 4, 9.186431 
0028, 5, 9.186431 
0028, 6, 11.100271 
0028, 7, 6.598470 
0028, 8, 6.598470 
0028, 9, 5.627340 
0029, 1, 3.969954 
0029, 2, 3.969954 
0029, 3, 3.969954 
0029, 4, 4.292376 
0029, 5, 4.689853 
0029, 6, 6.249857 
0029, 7, 5.417989 
0029, 8, 5.417989 
0029, 9, 5.417989 
0029, 10, 6.056932 
0029, 11, 4.924557 
0029, 12, 4.924557 
0029, 13, 4.924557 
0029, 14, 5.249599 
0029, 15, 6.173323 
0029, 16, 6.173323 
0029, 17, 6.749331 
0029, 18, 6.591833 
0029, 19, 6.591833 
0029, 20, 6.591833 
0029, 21, 7.265632 
0029, 22, 7.265632 
0029, 23, 8.607302 
0029, 24, 7.895904 
0029, 25, 7.895904 
0029, 26, 7.895904 
0029, 27, 9.694675 
0030, 1, 115.787986 
0030, 2, 143.719298 
0030, 3, 164.663317 
0031, 1, 31.721200 
0031, 2, 33.065590 
0031, 3, 33.065590 
0031, 4, 37.577982 
0031, 5, 37.751152 
0031, 6, 37.969873 
0031, 7, 37.969873 
0031, 8, 37.969873 
0031, 9, 34.601901 
0031, 10, 34.601901 
0031, 11, 34.601901 
0031, 12, 45.447989 
0031, 13, 49.053892 
0031, 14, 44.221323 
0031, 15, 44.221323 
0033, 1, 79.727494 
0033, 2, 85.780105 
0033, 3, 99.296970 
0033, 4, 99.296970 
0033, 5, 99.296970 
0033, 6, 107.436066 
0033, 7, 107.436066 
0033, 8, 122.268657 
0033, 9, 122.268657 
0033, 10, 121.362963 
0033, 11, 121.362963 
0033, 12, 121.362963 
0034, 1, 28.998230 
0034, 2, 25.740770 
0034, 3, 25.740770 
0034, 4, 23.918248 
0034, 5, 23.918248 
0034, 6, 23.918248 
0034, 7, 24.805450 
0034, 8, 30.768075 
0034, 9, 30.768075 
0035, 1, 52.766506 
0035, 2, 50.412308 
0035, 3, 50.412308 
0035, 4, 50.412308 
0035, 5, 60.569316 
0035, 6, 60.346225 
0035, 7, 60.346225 
0035, 8, 59.795620 
0035, 9, 52.428800 
0035, 10, 52.428800 
0035, 11, 52.428800 
0035, 12, 58.724014 
0037, 1, 174.297872 
0037, 2, 174.297872 
0037, 3, 174.297872 
0037, 4, 242.725926 
0037, 5, 239.182482 
0037, 6, 239.182482 
0039, 1, 102.080997 
0039, 2, 102.080997 
0039, 3, 102.080997 
0039, 4, 151.004608 
0039, 5, 128.501961 
0039, 6, 128.501961 
0039, 7, 128.501961 
0039, 8, 175.229947 
0039, 9, 175.229947 
0040, 1, 18.628766 
0040, 2, 18.628766 
0040, 3, 21.445026 
0040, 4, 21.801730 
0040, 5, 23.865987 
0040, 6, 23.865987 
0040, 7, 26.925226 
0040, 8, 31.326960 
0040, 9, 39.815310 
0040, 10, 37.621125 
0040, 11, 37.621125 
0040, 12, 37.621125 
0040, 13, 47.558781 
0040, 14, 47.558781 
0040, 15, 41.478481 
0041, 1, 67.285421 
0041, 2, 72.335541 
0041, 3, 72.335541 
0041, 4, 107.084967 
0041, 5, 112.993103 
0041, 6, 112.993103 
0041, 7, 110.329966 
0041, 8, 97.523810 
0041, 9, 97.523810 
0041, 10, 97.523810 
0041, 11, 95.812865 
0041, 12, 95.812865 
0041, 13, 95.812865 
0041, 14, 121.362963 
0041, 15, 107.789474 
0042, 1, 59.795620 
0042, 2, 59.795620 
0042, 3, 108.503311 
0042, 4, 108.503311 
0042, 5, 140.034188 
0042, 6, 122.268657 
0042, 7, 122.268657 
0042, 8, 122.268657 
0042, 9, 133.203252 
0043, 1, 72.979955 
0043, 2, 72.979955 
0043, 3, 72.979955 
0043, 4, 73.306488 
0043, 5, 76.204651 
0043, 6, 78.205251 
0044, 1, 22.336742 
0044, 2, 22.336742 
0044, 3, 24.094118 
0044, 4, 24.023460 
0044, 5, 24.023460 
0044, 6, 24.023460 
0044, 7, 25.323029 
0044, 8, 25.051988 
0044, 9, 25.051988 
0045, 1, 36.817978 
0045, 2, 44.765027 
0045, 3, 49.053892 
0045, 4, 49.053892 
0045, 5, 59.148014 
0045, 6, 71.234783 
0045, 7, 54.251656 
0045, 8, 54.251656 
0045, 9, 54.251656 
0046, 1, 33.065590 
0046, 2, 33.065590 
0046, 3, 33.065590 
0047, 1, 6.380062 
0047, 2, 6.380062 
0047, 3, 6.526190 
0047, 4, 6.526190 
0047, 5, 8.491319 
0047, 6, 8.491319 
0047, 7, 9.089598 
0047, 8, 9.089598 
0047, 9, 9.089598 
0047, 10, 10.409149 
0047, 11, 10.409149 
0047, 12, 13.018673 
0047, 13, 14.486295 
0047, 14, 17.886463 
0047, 15, 15.868281 
0048, 1, 36.653244 
0048, 2, 36.653244 
0048, 3, 36.653244 
0048, 4, 39.527141 
0048, 5, 39.527141 
0048, 6, 39.527141 
0049, 1, 56.888889 
0049, 2, 56.888889 
0049, 3, 68.409186 
0049, 4, 68.409186 
0049, 5, 68.409186 
0049, 6, 83.167513 
0049, 7, 85.556136 
0049, 8, 78.205251 
0049, 9, 78.205251 
0049, 10, 78.205251 
0049, 11, 88.562162 
0049, 12, 69.867804 
0049, 13, 69.867804 
0049, 14, 69.867804 
0049, 15, 99.902439 
0050, 1, 32.866600 
0050, 2, 23.676301 
0050, 3, 23.676301 
0050, 4, 23.676301 
0050, 5, 38.550588 
0050, 6, 38.550588 
0050, 7, 38.550588 
0050, 8, 49.053892 
0050, 9, 45.134986 
0050, 10, 45.134986 
0050, 11, 45.134986 
0050, 12, 47.627907 
0050, 13, 47.627907 
0050, 14, 42.118252 
0050, 15, 42.118252 
0051, 1, 27.014015 
0051, 2, 27.014015 
0051, 3, 27.014015 
0051, 4, 41.636595 
0051, 5, 46.878398 
0051, 6, 54.613333 
0052, 1, 69.276956 
0052, 2, 69.276956 
0052, 3, 79.149758 
0052, 4, 98.107784 
0052, 5, 107.789474 
0052, 6, 120.915129 
0052, 7, 120.915129 
0052, 8, 120.915129 
0052, 9, 138.261603 
0052, 10, 138.261603 
0052, 11, 166.335025 
0052, 12, 162.217822 
0053, 1, 36.984199 
0053, 2, 53.194805 
0053, 3, 52.178344 
0053, 4, 52.178344 
0053, 5, 52.178344 
0053, 6, 58.724014 
0054, 1, 13.413017 
0054, 2, 13.413017 
0054, 3, 20.467208 
0054, 4, 20.467208 
0054, 5, 28.223945 
0054, 6, 28.223945 
0054, 7, 35.386609 
0054, 8, 35.386609 
0054, 9, 33.505112 
0054, 10, 33.505112 
0054, 11, 33.505112 
0054, 12, 47.766764 
0054, 13, 47.766764 
0054, 14, 32.768000 
0054, 15, 32.768000 
0057, 1, 81.715711 
0057, 2, 70.620690 
0057, 3, 70.620690 
0057, 4, 70.620690 
0057, 5, 71.080260 
0057, 6, 89.286104 
0057, 7, 89.286104 
0057, 8, 100.515337 
0057, 9, 105.363344 
0057, 10, 75.676674 
0057, 11, 75.676674 
0057, 12, 75.676674 
0057, 13, 86.459103 
0057, 14, 90.021978 
0057, 15, 89.530055 
0057, 16, 89.530055 
0057, 17, 89.530055 
0057, 18, 111.455782 
